report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,state
1990,NM00101,"Albuquerque, NM",384736.0,5121.0,34.0,222.0,3835.0,1030.0,1331.04,8.84,57.7,996.79,267.72,NM
1990,TX22001,"Arlington, TX",261721.0,1876.0,8.0,139.0,1143.0,586.0,716.79,3.06,53.11,436.72,223.9,TX
1990,GAAPD00,"Atlanta, GA",394017.0,16097.0,231.0,695.0,9062.0,6109.0,4085.36,58.63,176.39,2299.9,1550.44,GA
1990,CO00101,"Aurora, CO",222103.0,3191.0,8.0,170.0,2616.0,397.0,1436.72,3.6,76.54,1177.83,178.75,CO
1990,TX22701,"Austin, TX",465622.0,3326.0,46.0,280.0,1539.0,1461.0,714.31,9.88,60.13,330.53,313.77,TX
1990,MD00301,"Baltimore County, MD",692134.0,6957.0,34.0,257.0,4959.0,1707.0,1005.15,4.91,37.13,716.48,246.63,MD
1990,MDBPD00,"Baltimore, MD",736014.0,17942.0,305.0,687.0,7473.0,9477.0,2437.73,41.44,93.34,1015.33,1287.61,MD
1990,MA01301,"Boston, MA",574283.0,13664.0,143.0,539.0,6960.0,6022.0,2379.31,24.9,93.86,1211.95,1048.61,MA
1990,NY01401,"Buffalo, NY",328123.0,5275.0,37.0,355.0,2711.0,2172.0,1607.63,11.28,108.19,826.21,661.95,NY
1990,NC06001,"Charlotte, NC",395934.0,9119.0,93.0,384.0,5434.0,3208.0,2303.16,23.49,96.99,1372.45,810.24,NC
1990,ILCPD00,"Chicago, IL",2783726.0,82728.0,851.0,3607.0,41114.0,37156.0,2971.84,30.57,129.57,1476.94,1334.76,IL
1990,OHCIP00,"Cincinnati, OH",364040.0,4476.0,49.0,388.0,2426.0,1613.0,1229.54,13.46,106.58,666.41,443.08,OH
1990,OHCLP00,"Cleveland, OH",505616.0,9190.0,168.0,846.0,3259.0,4917.0,1817.58,33.23,167.32,644.56,972.48,OH
1990,OHCOP00,"Columbus, OH",632910.0,7022.0,89.0,647.0,2745.0,3541.0,1109.48,14.06,102.23,433.71,559.48,OH
1990,TXDPD00,"Dallas, TX",1006877.0,24550.0,447.0,1344.0,12194.0,10565.0,2438.23,44.39,133.48,1211.07,1049.28,TX
1990,CODPD00,"Denver, CO",467610.0,4205.0,67.0,375.0,2451.0,1312.0,899.25,14.33,80.2,524.15,280.58,CO
1990,MI82349,"Detroit, MI",1027974.0,27747.0,582.0,1657.0,12498.0,13010.0,2699.19,56.62,161.19,1215.79,1265.6,MI
1990,TX07102,"El Paso, TX",515342.0,5111.0,34.0,256.0,3440.0,1381.0,991.77,6.6,49.68,667.52,267.98,TX
1990,VA02901,"Fairfax County, VA",787593.0,1013.0,27.0,105.0,391.0,490.0,128.62,3.43,13.33,49.64,62.21,VA
1990,TX22012,"Fort Worth, TX",447619.0,7826.0,130.0,432.0,4463.0,2801.0,1748.36,29.04,96.51,997.05,625.76,TX
1990,CA01005,"Fresno, CA",354202.0,4399.0,66.0,258.0,2483.0,1592.0,1241.95,18.63,72.84,701.01,449.46,CA
1990,HI00200,"Honolulu, HI",836231.0,2412.0,34.0,278.0,1211.0,889.0,288.44,4.07,33.24,144.82,106.31,HI
1990,TXHPD00,"Houston, TX",1630553.0,22637.0,568.0,1335.0,7813.0,12921.0,1388.3,34.83,81.87,479.16,792.43,TX
1990,INIPD00,"Indianapolis, IN",483549.0,6224.0,58.0,541.0,3983.0,1642.0,1287.15,11.99,111.88,823.7,339.57,IN
1990,FL01602,"Jacksonville, FL",636680.0,11654.0,176.0,704.0,6811.0,3963.0,1830.43,27.64,110.57,1069.77,622.45,FL
1990,MOKPD00,"Kansas City, MO",434711.0,11087.0,121.0,517.0,5957.0,4492.0,2550.43,27.83,118.93,1370.34,1033.33,MO
1990,NV00201,"Las Vegas, NV",616243.0,4510.0,79.0,371.0,1831.0,2229.0,731.85,12.82,60.2,297.12,361.71,NV
1990,CA01941,"Long Beach, CA",429433.0,8403.0,106.0,298.0,3806.0,4193.0,1956.77,24.68,69.39,886.28,976.4,CA
1990,CA01900,"Los Angeles County, CA",970620.0,17404.0,215.0,400.0,12125.0,4664.0,1793.08,22.15,41.21,1249.2,480.52,CA
1990,CA01942,"Los Angeles, CA",3485398.0,83809.0,983.0,2014.0,44714.0,36098.0,2404.57,28.2,57.78,1282.9,1035.69,CA
1990,TNMPD00,"Memphis, TN",610337.0,9082.0,195.0,831.0,3904.0,4152.0,1488.03,31.95,136.15,639.65,680.28,TN
1990,AZ00717,"Mesa, AZ",288091.0,1724.0,9.0,95.0,1345.0,275.0,598.42,3.12,32.98,466.87,95.46,AZ
1990,FL01300,"Miami-Dade County, FL",1036888.0,20130.0,213.0,802.0,10747.0,8368.0,1941.39,20.54,77.35,1036.47,807.03,FL
1990,FL01306,"Miami, FL",358548.0,15607.0,129.0,299.0,7007.0,8172.0,4352.83,35.98,83.39,1954.27,2279.19,FL
1990,WIMPD00,"Milwaukee, WI",628100.0,6282.0,155.0,495.0,1486.0,4146.0,1000.16,24.68,78.81,236.59,660.09,WI
1990,MN02711,"Minneapolis, MN",368383.0,4695.0,55.0,615.0,1467.0,2558.0,1274.49,14.93,166.95,398.23,694.39,MN
1990,MD01604,"Montgomery County, MD",744830.0,2089.0,23.0,195.0,1064.0,807.0,280.47,3.09,26.18,142.85,108.35,MD
1990,TN01901,"Nashville, TN",499565.0,6886.0,67.0,553.0,4102.0,2164.0,1378.4,13.41,110.7,821.11,433.18,TN
1990,NY02900,"Nassau County, NY",1009921.0,1957.0,21.0,63.0,859.0,1014.0,193.78,2.08,6.24,85.06,100.4,NY
1990,LANPD00,"New Orleans, LA",496938.0,11227.0,304.0,361.0,4514.0,6048.0,2259.24,61.17,72.64,908.36,1217.05,LA
1990,NY03030,"New York City, NY",7322564.0,174542.0,2245.0,3126.0,68891.0,100280.0,2383.62,30.66,42.69,940.8,1369.47,NY
1990,NJNPD00,"Newark, NJ",275221.0,10684.0,112.0,326.0,4225.0,6021.0,3881.97,40.69,118.45,1535.13,2187.7,NJ
1990,CA00109,"Oakland, CA",372242.0,5845.0,146.0,517.0,1952.0,3230.0,1570.22,39.22,138.89,524.39,867.72,CA
1990,OK05506,"Oklahoma City, OK",444719.0,4813.0,68.0,422.0,2925.0,1398.0,1082.26,15.29,94.89,657.72,314.36,OK
1990,NB02802,"Omaha, NE",335795.0,3140.0,12.0,217.0,2307.0,604.0,935.09,3.57,64.62,687.03,179.87,NE
1990,FL04804,"Orlando, FL",164693.0,4109.0,30.0,181.0,2449.0,1449.0,2494.95,18.22,109.9,1487.01,879.82,FL
1990,PAPEP00,"Philadelphia, PA",1585577.0,21387.0,503.0,734.0,7344.0,12806.0,1348.85,31.72,46.29,463.18,807.66,PA
1990,AZ00723,"Phoenix, AZ",983403.0,10665.0,128.0,512.0,6642.0,3383.0,1084.5,13.02,52.06,675.41,344.01,AZ
1990,PAPPD00,"Pittsburgh, PA",369879.0,5017.0,35.0,302.0,2361.0,2319.0,1356.39,9.46,81.65,638.32,626.96,PA
1990,OR02602,"Portland, OR",437319.0,7836.0,33.0,424.0,4838.0,2541.0,1791.83,7.55,96.95,1106.29,581.04,OR
1990,MD01721,"Prince George's County, MD",613616.0,7526.0,106.0,441.0,3373.0,3606.0,1226.5,17.27,71.87,549.69,587.66,MD
1990,NC09201,"Raleigh, NC",207951.0,1179.0,24.0,96.0,671.0,388.0,566.96,11.54,46.16,322.67,186.58,NC
1990,CA03404,"Sacramento, CA",369365.0,3978.0,43.0,211.0,1934.0,1790.0,1076.98,11.64,57.13,523.6,484.62,CA
1990,UT01803,"Salt Lake City, UT",159936.0,1355.0,25.0,167.0,624.0,539.0,847.21,15.63,104.42,390.16,337.01,UT
1990,TXSPD00,"San Antonio, TX",935933.0,5730.0,208.0,430.0,2228.0,2864.0,612.22,22.22,45.94,238.05,306.0,TX
1990,CA03711,"San Diego, CA",1110549.0,12047.0,135.0,439.0,7142.0,4331.0,1084.78,12.16,39.53,643.11,389.99,CA
1990,CA03801,"San Francisco, CA",723959.0,12388.0,101.0,419.0,4815.0,7053.0,1711.15,13.95,57.88,665.09,974.23,CA
1990,CA04313,"San Jose, CA",782248.0,4698.0,35.0,416.0,3213.0,1034.0,600.58,4.47,53.18,410.74,132.18,CA
1990,WASPD00,"Seattle, WA",516259.0,7780.0,53.0,481.0,4551.0,2695.0,1507.0,10.27,93.17,881.53,522.02,WA
