Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated aggravated assault
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,      21039,       2021,      16230,       8590,     182602,      12684,       9400,       2647,       6779,      98902,      27690,       1696,       2323,      59850,      18209,       6668,       7079,      10509,      24022,       1179,      23809,      28965,      43536,       7731,       5094,      23417,         866,       3886,       3494,         750,      24049,       9185,      92105,      28267,         303,      28715,      11654,       8863,      26414,       2814,      26474,         794,      20447,      73907,       3209,         491,      11608,      14731,       1831,       6196,       1139
1991,      26348,       2289,      17056,       9533,     189428,      13472,       9230,       2772,       6706,      96047,      27483,       1338,       2482,      61387,      19102,       6580,       7741,      11610,      26120,       1066,      23888,      30294,      44061,       7768,       5539,      24107,         799,       3970,       3681,         583,      23848,      10086,      90186,      29265,         241,      31393,      12594,       8714,      26440,       3057,      26029,         858,      22566,      84125,       3241,         410,      12346,      15181,       2135,       6330,       1214
1992,      27074,       2614,      17880,       9571,     198045,      14049,       8284,       2615,       8568,     104827,      28835,       1365,       2398,      60057,      19008,       6131,       8418,      15409,      28013,       1013,      25157,      33288,      43282,       8248,       6023,      24223,         944,       4115,       3872,         588,      23740,      11448,      87608,      30638,         320,      29547,      13863,       8963,      25505,       2668,      25436,         891,      23626,      86105,       3376,         419,      12548,      16321,       2537,       6276,       1225
1993,      24044,       3268,      19903,      10079,     194083,      14230,       7496,       2920,       9003,     107479,      29628,       1408,       2491,      62298,      18432,       6890,       8259,      12555,      30727,         945,      25141,      35591,      44747,       7943,       6302,      23825,         958,       4558,       6443,         721,      23438,      11815,      85802,      30650,         309,      28431,      14712,       9630,      24714,       2681,      28174,       1041,      24758,      84881,       3622,         356,      12322,      16181,       2520,       6116,       1087
1994,      19633,       3302,      20161,      10118,     191548,      12944,       7745,       2829,       8218,     105679,      28249,       1461,       2673,      63849,      20216,       6874,       7149,      11802,      28060,         987,      24696,      30550,      43371,       8155,       7220,      24553,         975,       4548,       8292,         597,      23414,      11336,      82100,      30391,         301,      27216,      15209,      10320,      25071,       2560,      28595,       1193,      24943,      81071,       3735,         325,      12294,      16329,       2690,       6590,       1042
1995,      17169,       3179,      20909,       9435,     186458,      11194,       7022,       3173,       7228,     101302,      29318,       1564,       3088,      73163,      20211,       7894,       6920,       8571,      29484,       1007,      25697,      30626,      41070,       7939,       8628,      22296,         972,       4821,       8395,         646,      22830,      10098,      74351,      30615,         340,      28433,      16121,      10638,      24927,       2429,      27577,       1012,      25783,      80380,       4196,         450,      12901,      15602,       2584,       7602,         959
1996,      15194,       3264,      18776,       9032,     167614,       9763,       7025,       3056,       6310,     101122,      28879,       1350,       2580,      66649,      21705,       5871,       6900,       7347,      25823,         976,      24793,      29420,      37856,       7903,       8333,      20528,         882,       5635,       6998,         632,      21307,      10332,      64857,      28159,         301,      24405,      14423,       9522,      31401,       2301,      28361,         850,      26295,      80613,       4362,         453,      12318,      14187,       2672,       6767,         947
1997,      15626,       3165,      18997,       9131,     163346,       9063,       6918,       3520,       5688,     100926,      27044,       1478,       2481,      63842,      20058,       6617,       7287,       7308,      24360,         964,      23654,      30969,      36900,       7879,       7644,      20811,         769,       5712,       7132,         643,      20650,      10790,      63628,      29292,         353,      25862,      13368,       9200,      30358,       2197,      28460,         918,      27335,      77266,       4443,         461,      12558,      14864,       2759,       7521,         986
1998,      14791,       3021,      17442,       8906,     149148,       9704,       6751,       3707,       4932,      95447,      26514,       1345,       2782,      62261,      16456,       6678,       7384,       8097,      23237,       1052,      23337,      30443,      39987,       7806,       6567,      20244,       1312,       5749,       5710,         597,      18663,      12714,      62023,      28667,         286,      20682,      13258,       8893,      26827,       2050,      26645,         722,      26220,      73630,       4274,         396,      12712,      14839,       3410,       7308,         957
1999,      14266,       2773,      17279,       7971,     136472,       8891,       6527,       3489,       4615,      89226,      25721,       1343,       2401,      52020,      13767,       6160,       6887,       7757,      22526,         897,      22795,      26307,      37062,       6996,       5211,      18406,       1536,       5429,       4994,         539,      17601,      10827,      58860,      26680,         216,      16685,      12675,       8267,      27890,       1625,      25315,         770,      26707,      74070,       3861,         458,      12567,      13026,       5259,       7225,         893
2000,      14107,       2540,      17841,       8887,     138418,       9425,       6450,       3520,       4582,      90008,      25450,       1450,       2644,      50731,      12837,       6003,       7231,       7363,      20851,         815,      26130,      22594,      35753,       7709,       6290,      18123,       2276,       3960,       4942,       1170,      17099,      10230,      60090,      24715,         294,      17636,      12958,       7756,      29580,       1742,      25054,         816,      28172,      74302,       3563,         425,      11631,      13043,       4597,       6829,       1074
2001,      12250,       2681,      17889,       8969,     136087,       9849,       6565,       3269,       5003,      90331,      24491,       1534,       2511,      49347,      13434,       6012,       7449,       6009,      20910,         826,      26668,      22110,      36551,       7032,       5283,      20946,       2735,       3612,       6364,       1224,      17370,      10644,      56961,      24573,         274,      17906,      13309,       6643,      28814,       1837,      25028,         710,      29938,      77306,       3154,         423,      11945,      12545,       3968,       6708,       1026
2002,      12002,       2594,      20176,       8081,     130827,      10058,       5914,       3298,       4962,      88476,      23125,       1656,       2646,      45114,      13184,       6378,       6951,       6692,      20445,         735,      26715,      22018,      36417,       7106,       5111,      21737,       2661,       3557,       7629,       1185,      16593,      10334,      53583,      24169,         270,      16922,      12885,       6246,      28060,       1699,      25730,         861,      29439,      78628,       3358,         442,      12068,      12249,       3179,       6134,       1108
2003,      11338,       2787,      18722,       9131,     129380,       9921,       6023,       3693,       4597,      85106,      22501,       1843,       2556,      41506,      13383,       6198,       7374,       5703,      19429,         763,      23593,      20378,      34214,       7191,       4974,      19692,       2777,       3380,       7520,       1002,      16452,       9542,      48987,      23369,         286,      16104,      12827,       6373,      27027,       1714,      25399,         859,      28471,      75782,       3652,         504,      11554,      12509,       3542,       6322,       1080
2004,      11286,       3117,      18921,      10083,     115400,      11236,       5070,       3377,       3968,      86199,      23561,       1903,       2586,      41783,      11802,       6513,       7254,       5410,      20090,         742,      24351,      20040,      32276,       7445,       4677,      19763,       2187,       3595,       8348,       1219,      16144,       9811,      46911,      23591,         330,      16108,      12802,       6600,      28339,       1596,      25634,         854,      29611,      75985,       3398,         459,      11503,      12417,       3922,       6191,         973
2005,      11293,       3087,      19448,      10747,     114661,      12351,       4792,       3612,       3971,      88341,      23977,       1885,       2792,      42158,      11281,       6657,       7707,       5833,      19681,         815,      23173,      19878,      36760,       8146,       4365,      21254,       2138,       3387,       8730,         971,      16079,       9370,      46150,      25128,         460,      16228,      13146,       6620,      29205,       1577,      24757,         847,      32470,      75383,       3541,         545,      11718,      12941,       3735,       7471,         958
2006,      10463,       3462,      20983,      11259,     111620,      12641,       5212,       3733,       4589,      87851,      26469,       2090,       2726,      40858,      10956,       6286,       8678,       6026,      22853,         786,      22011,      22178,      36684,       8830,       4547,      22167,       2950,       3433,      10331,       1042,      15562,       9495,      45467,      25586,         925,      16743,      13062,       6516,      29581,       1404,      25224,       1418,      32287,      74531,       3587,         604,      11672,      12934,       3776,       8937,       1071
2007,      11417,       3351,      20170,      10629,     109547,      11410,       5441,       3957,       3687,      86372,      26708,       2021,       2942,      40573,      11377,       6633,       9315,       6690,      23421,         804,      21072,      19636,      35147,       8295,       4371,      23082,       3015,       3788,      11138,       1076,      14564,       9777,      45144,      25727,         999,      17218,      13053,       6799,      28198,       1387,      26139,       1344,      32843,      73357,       3928,         582,      11131,      12862,       3716,       9438,       1067
2008,      11795,       3356,      19096,      10244,     104896,      11760,       5882,       3912,       3707,      82848,      26571,       2036,       2839,      38818,      11912,       6388,       8534,       6952,      21578,         829,      20570,      21143,      33205,       7759,       4669,      20238,       2411,       3603,      11216,       1234,      14152,       9537,      42125,      25907,       1026,      16652,      13975,       5983,      27981,       1463,      24158,       1494,      31619,      76421,       3788,         611,      10397,      12623,       3654,       9070,       1046
2009,      13103,       3235,      17270,      10772,     100156,      11223,       5824,       3597,       3390,      76112,      24553,       2112,       2952,      36588,      12175,       6356,       8370,       5643,      20848,         780,      20022,      21129,      32251,       7392,       4297,      20083,       2181,       3321,      11431,       1261,      14114,       9510,      43606,      23326,       1308,      15989,      13433,       6179,      26394,       1565,      23078,       1129,      29793,      74021,       3714,         586,       9911,      12928,       4086,       8482,         935
2010,      11869,       3379,      16976,      10887,      95877,      10816,       5802,       3392,       3382,      69523,      24034,       2136,       2696,      32976,      12396,       6258,       7821,       5230,      18214,         796,      18899,      21842,      31858,       7233,       4087,      19390,       2222,       3345,      11508,       1330,      13885,       9432,      44197,      22583,       1203,      15611,      13091,       5892,      26112,       1600,      21090,       1634,      28016,      71517,       3620,         596,       9550,      12476,       4390,       8305,         870
2011,      13591,       3374,      16748,      10426,      91195,      10346,       5382,       3231,       3058,      66319,      21881,       2098,       2535,      30495,      12578,       6149,       7528,       5110,      18370,         848,      16876,      19626,      28507,       6750,       4418,      18778,       2189,       2912,      10092,       1758,      13608,       9170,      45538,      21516,       1318,      15048,      12401,       6083,      26046,       1503,      21265,       1415,      28338,      67498,       3517,         669,       8694,      12042,       4236,       8340,       1010
2012,      15035,       3169,      18054,      10134,      94702,      10285,       5424,       3245,       3505,      63929,      22447,       1953,       2580,      29725,      13975,       6255,       7609,       4792,      15737,         808,      16303,      18721,      29203,       7207,       4460,      19490,       2180,       2912,      10790,       1869,      12919,       8740,      47382,      22609,       1292,      15140,      13012,       5969,      25571,       1614,      19919,       1921,      30615,      67227,       3807,         638,       9131,      12285,       4623,      10165,         932
2013,      13788,       3127,      17391,       9796,      89029,       9826,       4906,       2960,       3835,      61054,      21361,       2111,       2548,      28161,      13915,       6332,       7177,       4215,      16331,         907,      16124,      18118,      27254,       6908,       4649,      18056,       2217,       3011,      10060,       1506,      12071,       9470,      46130,      21325,       1447,      14370,      11652,       5596,      23680,       1547,      17760,       2052,      27895,      65351,       3824,         554,       9111,      11623,       4242,       9285,         917
2014,      13745,       3243,      16970,      10265,      91803,      10325,       4495,       2867,       4125,      72895,      22052,       2102,       2623,      27520,      14686,       6264,       7259,       4404,      16387,         890,      15133,      18051,      27519,       6729,       4592,      18482,       2532,       3316,      10564,       1459,      11225,       8797,      45303,      21421,       1407,      14771,      10744,       5592,      22189,       1398,      17676,       2096,      29681,      65656,       3513,         432,       9400,      11627,       4358,       9809,         899

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"Alabama - "
 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"Delaware - "
 
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate." 
,,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."  
 
,,"District of Columbia - "
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police" 
,,"2002-2008 data include reports from the Metro Transit Police" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police."  
 
,,"Florida - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies."  
 
,,"Illinois - "
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006." 
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois." 
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process."  
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates."
  
 
,,"Kansas - "
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates. " 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."  
 
,,"Kentucky - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.  " 
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate. " 
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals"  
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total."
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
  
 
,,"Minnesota - "
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."  
 
,,"Montana - "
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located." 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located." 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"New Hampshire - "
 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division."  
 
,,"New York - "
 
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."  
 
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate."
  
 
,,"Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
  
 
,,"Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Mar 24 2018
