Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated burglary
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,      44585,       4919,      61206,      28464,     400392,      39822,      40355,       6465,      12035,     280832,     104905,      13611,       8187,     121506,      52297,      22448,      28901,      28264,      60677,      10106,      53549,      66942,     106275,      39691,      32196,      54536,       5666,      11424,      16434,       8158,      78628,      26343,     208813,     101444,       2725,     106575,      45531,      32273,      86624,      12755,      48132,       3671,      61646,     314512,      15172,       6119,      45236,      61460,      11785,      36755,       2862
1991,      51873,       5582,      60281,      29093,     424656,      39117,      39198,       7668,      12405,     266313,     100317,      14011,       8582,     129284,      54814,      23267,      32601,      29576,      60017,      11146,      56258,      69977,     111126,      37832,      34524,      64643,       4231,      11574,      18026,       8126,      78821,      26672,     204499,     114009,       2367,     115423,      46934,      34363,      86074,      11320,      51793,       4146,      67608,     312693,      14872,       5784,      49224,      61996,      12009,      37241,       3184
1992,      49053,       5170,      54095,      26214,     427491,      37853,      36372,       6598,      10721,     254755,      97402,      13006,       7934,     125306,      53907,      21197,      32639,      27378,      58574,      10156,      55520,      64318,      98257,      39859,      33533,      57127,       5306,      11477,      17108,       6909,      75508,      23896,     193548,     113117,       2487,     104357,      43678,      32945,      75834,      10529,      49669,       3849,      63665,     268928,      16045,       4706,      45217,      57612,      11287,      34645,       3127
1993,      45578,       4893,      57684,      26646,     414182,      36011,      32052,       6244,      11534,     251063,      90423,      13310,       7350,     118788,      48677,      20562,      28655,      28041,      58768,       8909,      56246,      60220,      93143,      38147,      33985,      53673,       5992,      10662,      17293,       5795,      76738,      22966,     181709,     105270,       2370,      97394,      39903,      31072,      70125,      10409,      47695,       3927,      60299,     233913,      14708,       5036,      43338,      56083,      10904,      33400,       3023
1994,      44064,       4848,      60157,      26911,     384257,      33843,      29142,       6198,      10037,     237341,      81406,      14029,       8147,     118116,      48921,      18872,      28635,      28718,      55188,       8938,      52234,      53222,      91849,      36157,      34493,      55577,       6178,      10963,      19735,       5275,      72074,      21945,     164650,     104118,       2070,      96175,      40764,      33970,      66468,       9101,      46678,       3938,      59080,     214687,      15089,       4274,      41855,      55793,      10673,      32824,       3097
1995,      43586,       5055,      59762,      24763,     353895,      35001,      29095,       6491,      10185,     215657,      76324,      13832,       9069,     108555,      47676,      21527,      27404,      28389,      53481,       9015,      53320,      49669,      86872,      36756,      30505,      49649,       5060,      10344,      20235,       4806,      69533,      24383,     146562,     101995,       2248,      93539,      41694,      34640,      67815,       9234,      46083,       3942,      60086,     202642,      15623,       4451,      39388,      59265,      10329,      31416,       2938
1996,      42821,       5118,      55630,      23925,     312212,      34436,      27574,       5830,       9828,     219056,      81968,      12781,       8431,     108185,      45782,      18954,      25239,      26736,      56379,       9303,      50331,      42896,      85908,      35515,      30755,      47919,       4908,      10152,      19558,       5063,      63259,      23586,     129828,      98539,       1991,      93336,      41447,      31664,      71357,       8135,      47487,       4077,      61896,     204390,      16965,       3964,      39255,      58512,       9979,      30356,       3184
1997,      43786,       4276,      60077,      25568,     299240,      30994,      24143,       6421,       6963,     213926,      81320,      12741,       9175,     103550,      48182,      22003,      24292,      26638,      53935,       8241,      47918,      40491,      80726,      35265,      32429,      46900,       5002,       9813,      21975,       4612,      60894,      25126,     118306,     100002,       2300,      94972,      40015,      33507,      68218,       7083,      46322,       4088,      62899,     201059,      18335,       3611,      38475,      62064,      10647,      29503,       2998
1998,      41965,       4098,      56473,      23559,     269012,      31231,      21801,       6395,       6361,     203105,      75720,      11169,       8518,      97792,      46552,      19282,      24984,      27998,      51210,       8295,      47393,      37333,      82249,      32486,      31498,      47455,       4575,      10544,      19873,       3852,      54459,      24213,     104821,      99951,       2274,      90805,      38268,      30442,      63777,       6452,      44600,       3458,      58432,     194883,      17070,       3966,      38094,      60446,      11110,      29740,       2696
1999,      38648,       3787,      49423,      21692,     223814,      26979,      19298,       5245,       5067,     181378,      71429,       9421,       7641,      86317,      42463,      17012,      21874,      25180,      47775,       7532,      43230,      32964,      76736,      27706,      29109,      42476,       3876,      10158,      17613,       3698,      46998,      21481,      93217,      98457,       2337,      87023,      34472,      26749,      56037,       6341,      39630,       3255,      51362,     190362,      14592,       3537,      32411,      54652,      10303,      25633,       2349
2000,      40331,       3899,      51902,      21443,     222293,      27133,      17436,       5216,       4745,     172898,      68488,      10665,       7330,      81850,      41108,      16342,      21484,      25308,      46289,       6775,      39426,      30600,      69790,      26116,      26918,      41685,       3624,      10131,      17526,       4992,      43924,      21339,      87946,      97888,       2093,      88636,      31661,      25618,      54080,       6620,      40319,       2896,      56344,     188975,      14348,       3501,      30434,      53476,       9890,      25183,       2078
2001,      40642,       3847,      54821,      22196,     232273,      28533,      17159,       5144,       4949,     176052,      71799,      11162,       7507,      79158,      42758,      16885,      20514,      26964,      46451,       6898,      41553,      32430,      72038,      25496,      29821,      42977,       3670,       9760,      17711,       4889,      46812,      19552,      80400,     101889,       2165,      96910,      34573,      26648,      54345,       6824,      42611,       3087,      59705,     204362,      13804,       3150,      31604,      53024,       9601,      26927,       2481
2002,      42578,       3908,      59087,      23229,     238428,      31678,      17111,       5355,       5170,     177242,      73932,      12722,       7441,      81440,      42605,      18643,      19679,      26891,      45350,       6965,      39765,      33243,      70970,      28034,      29593,      42721,       3289,      10329,      18951,       4838,      43899,      19634,      76700,      99535,       2243,      99164,      35171,      25696,      55610,       6415,      43745,       3034,      61248,     212602,      15124,       3489,      31757,      54948,       9677,      27926,       2448
2003,      43245,       3874,      58613,      25016,     242274,      32394,      16043,       6066,       4671,     170644,      79001,      11409,       7837,      78345,      41582,      17515,      21973,      26034,      44572,       6579,      38641,      34963,      68316,      27698,      29564,      41997,       3722,      10133,      21958,       4589,      43457,      18997,      75453,     100687,       1959,      95083,      34846,      28562,      53918,       5524,      43993,       2878,      63323,     219877,      16961,       3017,      29105,      58271,      10498,      26546,       2611
2004,      44666,       3773,      56885,      30151,     245903,      33010,      15959,       5669,       3946,     166332,      82992,      10827,       7671,      76088,      42168,      17928,      20146,      25902,      45359,       6341,      36704,      34497,      64233,      28048,      27661,      40472,       3515,       9826,      23142,       4979,      41030,      19924,      70696,     101193,       2040,      96518,      35244,      30072,      54443,       5465,      43739,       3148,      60386,     220118,      15225,       3435,      28759,      60632,      10994,      23854,       2738
2005,      43473,       4131,      56328,      30118,     250521,      34746,      15245,       5811,       3577,     164783,      84463,       9792,       8066,      77635,      43756,      18147,      19028,      26458,      39382,       6323,      35922,      34728,      70527,      29716,      26866,      42822,       3642,       9408,      23481,       4192,      38980,      20939,      68034,     104298,       2043,     100183,      35692,      27621,      56134,       5319,      42741,       2505,      61508,     219828,      14971,       3185,      29829,      60343,      11334,      24448,       2426
2006,      44780,       4155,      59418,      31864,     247230,      32411,      15583,       6337,       3835,     170873,      85140,       8724,       7545,      77259,      45538,      18160,      20086,      27867,      46703,       6846,      37459,      35243,      76313,      30306,      27117,      44734,       3380,       9535,      24902,       4395,      39384,      20906,      68617,     107333,       2601,     105639,      34437,      24324,      57739,       5453,      42952,       3024,      63024,     215710,      14721,       3443,      32166,      58843,      11579,      27038,       2322
2007,      45379,       3734,      59988,      32035,     237850,      28633,      15640,       6420,       3926,     181836,      90294,       9089,       7131,      75524,      46485,      17176,      20461,      27820,      46932,       6745,      37095,      35767,      75273,      29717,      27223,      44897,       3476,       9035,      24911,       5074,      37234,      20823,      64914,     108700,       2314,      99049,      34367,      22979,      56091,       5206,      45398,       2647,      61817,     228320,      15594,       3200,      32028,      52874,      10822,      27890,       2365
2008,      50411,       3237,      58606,      33912,     237811,      28054,      15107,       6783,       3788,     188472,     100564,       9404,       6748,      78968,      48805,      16598,      19651,      29556,      45524,       6559,      38849,      36251,      74787,      26558,      25506,      45763,       3689,       8731,      24254,       4266,      40402,      20706,      65544,     111556,       2336,     102428,      35247,      21115,      58687,       5766,      45964,       2683,      65093,     230046,      14766,       3515,      32188,      53136,      10840,      27459,       2198
2009,      48844,       3600,      54308,      34753,     230198,      26637,      15172,       6943,       3696,     181884,      98606,       9244,       6682,      77850,      48880,      16419,      19473,      29880,      46928,       6729,      36905,      34515,      76046,      25580,      29559,      43591,       3686,       8726,      22115,       4915,      36945,      21955,      62769,     107830,       2426,     104009,      38071,      19739,      54772,       5753,      45443,       2621,      63832,     240058,      15258,       3471,      31956,      53047,      12005,      26813,       2176
2010,      42484,       3105,      50932,      32463,     228857,      26196,      15145,       7550,       4233,     169119,      96947,       8706,       6513,      77472,      48570,      16746,      19315,      30443,      45437,       7364,      36704,      37903,      74345,      24415,      30453,      44197,       3692,       8318,      22286,       5444,      38732,      21023,      65839,     102826,       2000,     107125,      37848,      20035,      55206,       6124,      46261,       3192,      64293,     228597,      15095,       3348,      30804,      55192,      10778,      26636,       2151
2011,      51119,       2852,      54695,      34016,     230075,      25725,      15468,       7617,       3850,     170171,      96014,       8165,       6915,      77719,      50571,      17573,      18712,      32750,      46242,       7865,      35823,      36403,      69755,      25681,      30722,      44875,       3347,       8725,      20342,       6244,      43238,      21419,      65227,     105534,       2458,     112901,      36462,      20704,      57966,       6836,      47351,       2927,      62830,     215755,      13170,       3838,      30656,      56561,      10245,      27167,       1864
2012,      47481,       2950,      52911,      32673,     245767,      26163,      14787,       7389,       3519,     153563,      86992,       7653,       7240,      71100,      47689,      17201,      18874,      29877,      42037,       7476,      33803,      34635,      65560,      25378,      28084,      42510,       3920,       8745,      22120,       5988,      42338,      21384,      64389,      99323,       2429,     105312,      36094,      22051,      57040,       5929,      45222,       3280,      56231,     205002,      13095,       4179,      29651,      61376,      11466,      27931,       2125
2013,      42410,       2917,      48292,      30369,     232058,      25075,      12934,       6299,       3316,     138915,      83459,       7777,       6693,      59093,      42754,      15918,      17476,      26331,      41214,       6480,      31950,      30716,      56256,      22713,      24969,      38797,       4122,       8945,      23047,       4979,      35883,      21828,      56444,      90182,       2979,      91090,      33512,      20808,      52000,       5621,      40930,       3383,      51334,     191062,      13727,       3352,      26717,      58487,       9908,      24358,       1956
2014,      39715,       3150,      43562,      24790,     202670,      23472,      11955,       5768,       3466,     143220,      76428,       7778,       6428,      50008,      36893,      14428,      15828,      23244,      38337,       5030,      28012,      24964,      44184,      20773,      24352,      35258,       3595,       7950,      21927,       4162,      31710,      18505,      50781,      79373,       2707,      78845,      29508,      17230,      45720,       4823,      36721,       2818,      46642,     169234,      11518,       2034,      23122,      55290,       8973,      21216,       1689

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"Alabama - "
 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"Delaware - "
 
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate." 
,,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."  
 
,,"District of Columbia - "
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police" 
,,"2002-2008 data include reports from the Metro Transit Police" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police."  
 
,,"Florida - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies."  
 
,,"Illinois - "
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006." 
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois." 
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process."  
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates."
  
 
,,"Kansas - "
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates. " 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."  
 
,,"Kentucky - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.  " 
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate. " 
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals"  
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total."
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
  
 
,,"Minnesota - "
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."  
 
,,"Montana - "
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located." 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located." 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"New Hampshire - "
 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division."  
 
,,"New York - "
 
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."  
 
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate."
  
 
,,"Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
  
 
,,"Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Mar 24 2018
