Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated motor vehicle theft
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,      14053,       3110,      31648,       6803,     302214,      14112,      24027,       2957,       8109,     106902,      43637,       4217,       1666,      73473,      24338,       4718,       8309,       7350,      25393,       2169,      33886,      55567,      66336,      15994,       5341,      27599,       1938,       2812,       7121,       2707,      72628,       5101,     187591,      18803,         850,      53221,      18926,      13035,      60062,       9577,      13453,         767,      27875,     154415,       4096,       1170,      20263,      21759,       2760,      20373,         676
1991,      14858,       3043,      32291,       8097,     315615,      14401,      26188,       2551,       8135,     104035,      40489,       3814,       1853,      75642,      26077,       4772,       8757,       7969,      24381,       2017,      35517,      55083,      63670,      16106,       7420,      28806,       1667,       3386,       8376,       2434,      71847,       5361,     181287,      20167,         805,      54744,      17673,      13862,      57598,       7973,      13782,         808,      30393,     163830,       4265,         819,      21284,      22305,       3150,      21624,         711
1992,      14983,       2918,      31481,       7900,     320112,      17662,      23700,       2109,       9118,     111685,      38913,       4351,       1679,      71976,      25496,       4474,       8169,       8128,      26926,       1778,      35654,      47416,      59057,      15911,       8797,      25831,       1923,       3225,       9255,       2165,      63524,       5974,     168922,      19613,         950,      51886,      16601,      15881,      56171,       7463,      12443,         719,      28935,     145071,       4313,         600,      19488,      24214,       2968,      21605,         701
1993,      14142,       2701,      33998,       7818,     319295,      16058,      19515,       2207,       8062,     122516,      41076,       5283,       2016,      65351,      24456,       5370,       8167,       8193,      26359,       1665,      33930,      49063,      58291,      15473,       8856,      28666,       2066,       5252,      10255,       2183,      56253,       6547,     151949,      20036,         944,      48276,      15532,      17608,      53033,       6463,      12531,         819,      30135,     124837,       4505,         764,      18533,      23969,       2940,      18375,         728
1994,      14000,       3275,      43467,       7726,     308205,      14365,      20167,       2945,       8261,     127186,      39312,       6383,       2210,      66218,      25011,       5096,       8383,       8558,      26219,       1776,      38197,      42348,      62304,      14355,      10810,      27038,       2450,       6236,      11065,       2302,      52164,       8350,     128873,      21342,         964,      47413,      15461,      21764,      54153,       5183,      13184,         872,      28994,     110753,       5689,         862,      18289,      26743,       3274,      18321,         771
1995,      14741,       3151,      48830,       8082,     280479,      14520,      17692,       2970,      10193,     111320,      43809,       8199,       2815,      61874,      27023,       6332,       8299,      10003,      25984,       1673,      36179,      36716,      61639,      15741,       9723,      25199,       2389,       5752,      11405,       1666,      50184,       8647,     102596,      22350,       1148,      46261,      16272,      22050,      49817,       4364,      14157,         881,      34086,     104923,       7592,         794,      19363,      30087,       3040,      18626,         805
1996,      15632,       2992,      41034,       7855,     242466,      15206,      16022,       3148,       9975,     103769,      46215,       7157,       2229,      58077,      24817,       5449,       6388,      10142,      27480,       1776,      36083,      32178,      67203,      17923,       9527,      23992,       2248,       5643,      11194,       1762,      46437,       9973,      89900,      24566,       1224,      45528,      15939,      17013,      48736,       4597,      15849,         834,      34428,     104928,       8572,         885,      18608,      28893,       3231,      17846,         669
1997,      15407,       2784,      44201,       7938,     228722,      16107,      14541,       4253,       7569,     107195,      44572,       6468,       2429,      55423,      25099,       6682,       6438,       9694,      26374,       1642,      30668,      29452,      65327,      17869,       9328,      26517,       2179,       5541,      13220,       1593,      41165,      12407,      79697,      24442,       1154,      45419,      14644,      19280,      44213,       4195,      15755,         858,      33742,     101721,       9144,         800,      18892,      31855,       3287,      15640,         647
1998,      14871,       2607,      40391,       7187,     195517,      16087,      12705,       3186,       6501,     104250,      42538,       5594,       2282,      52932,      21187,       5974,       6801,       9752,      23661,       1509,      28212,      26403,      58338,      15366,       9322,      24466,       2049,       5788,      13766,       1474,      35185,      10767,      68171,      24616,       1127,      43021,      13565,      17262,      42668,       3829,      15948,         763,      28099,      96646,       7700,         874,      18355,      35200,       3390,      14210,         669
1999,      13134,       2658,      38247,       6664,     168480,      14795,      11297,       3043,       6652,      93191,      40120,       4660,       1898,      56668,      20290,       5135,       6048,       8869,      21695,       1694,      25447,      25628,      56800,      13275,      13532,      22984,       1874,       5440,      13094,       1354,      35357,       8126,      58261,      25577,       1036,      39192,      12132,      13633,      39234,       4032,      14445,         861,      25255,      92037,       7382,         912,      17953,      33807,       3762,      13819,         596
2000,      12809,       2350,      43204,       6932,     182035,      16961,      13099,       3151,       6600,      89181,      38702,       6114,       2086,      50267,      21090,       5374,       6496,       9274,      21270,       1322,      28573,      25876,      55724,      13432,       6968,      24695,       1896,       5230,      13172,       2148,      34151,       7341,      54231,      25266,         986,      39026,      12348,      13932,      36325,       4665,      15586,         798,      27530,      93161,       6461,         809,      17813,      35018,       3315,      14636,         573
2001,      12619,       2618,      52203,       7320,     204177,      20994,      12378,       2779,       7970,      89917,      37589,       6743,       2389,      48733,      21499,       5505,       7985,       8944,      21687,       1671,      32025,      27828,      53607,      15031,       9473,      28014,       1821,       6490,      14702,       2140,      37708,       7137,      48287,      24647,       1086,      42229,      12569,      14842,      35713,       5043,      16701,         815,      28272,     102667,       6513,         758,      18842,      39077,       3216,      14722,         696
2002,      13890,       2471,      57668,       6813,     222364,      23183,      11580,       3057,       9599,      88516,      38036,       9910,       2627,      44812,      20287,       5823,       7212,       9321,      20186,       1429,      34020,      26588,      49723,      13842,       9523,      27878,       1783,       6409,      17486,       1944,      35755,       7437,      47366,      24866,       1018,      42767,      12772,      16524,      32817,       4876,      16867,         819,      26541,     102680,       7722,         769,      18478,      40493,       3898,      13458,         743
2003,      14957,       2461,      56997,       6007,     241326,      22816,      11370,       2944,       9906,      81563,      43392,       9651,       2646,      41633,      20771,       5639,       7832,       8253,      19655,       1456,      36405,      25511,      53711,      13749,       8996,      29951,       1906,       6132,      20849,       1933,      34606,       7224,      45204,      26892,       1078,      41017,      12958,      18974,      33442,       4387,      15790,         874,      26473,      98214,       7802,         654,      17977,      40618,       3463,      12363,         798
2004,      14024,       2240,      55306,       6518,     252604,      24004,      11213,       2302,       8408,      78325,      44238,       8620,       2739,      40373,      21091,       5633,       8510,       8772,      19714,       1303,      35882,      22048,      50584,      13518,       7879,      25893,       1618,       5287,      22635,       1956,      30306,       7902,      41002,      26988,         937,      40651,      12957,      18535,      30969,       4078,      15726,         847,      24777,      94077,       7648,         587,      17455,      43233,       3766,      11374,         799
2005,      13140,       2595,      54905,       7286,     257543,      26101,      10609,       2349,       7720,      75303,      44477,       9135,       2884,      39373,      21744,       5500,       9338,       8796,      14389,       1348,      34070,      18920,      48275,      14281,       7492,      25699,       1971,       5581,      26931,       1346,      27683,       7929,      35736,      28466,       1073,      41471,      13900,      19262,      29394,       4401,      16376,         839,      25228,      93423,       8493,         670,      15991,      49287,       3820,      12577,         739
2006,      15018,       2536,      56650,       7515,     243655,      20656,      10290,       2884,       7321,      76454,      43127,       7739,       2436,      37641,      21590,       5044,       8724,       9364,      15667,       1347,      30523,      17975,      50098,      13277,       8330,      25399,       1947,       5166,      27007,       1486,      24749,       9230,      32133,      30102,       1086,      37977,      13438,      14637,      29708,       3609,      16685,         834,      22653,      95425,       8371,         620,      14799,      46434,       4057,      14028,         804
2007,      14238,       2433,      50244,       6999,     220134,      16656,       9951,       2342,       7606,      73630,      42518,       6283,       2266,      33887,      19403,       4939,       8600,       8678,      15293,       1276,      28393,      15051,      41988,      12648,       7191,      23897,       2046,       5246,      22363,       1411,      21959,       8903,      28029,      27952,         982,      33955,      13600,      14637,      26511,       3195,      17104,         784,      21718,      94000,       8915,         649,      14101,      38120,       3477,      13458,         813
2008,      13466,       1628,      38587,       6543,     192529,      13349,       8891,       2557,       6465,      63515,      39644,       5116,       1660,      32572,      17500,       4376,       7405,       7657,      13564,       1179,      25333,      12755,      35755,      10195,       6252,      20757,       1777,       4225,      15938,       1407,      20180,       8017,      25093,      26727,         911,      28451,      11023,      11377,      22492,       3203,      17670,         918,      19203,      85384,       7308,         586,      13347,      29134,       3164,      11541,         733
2009,      11091,       1687,      26437,       6097,     163833,      12480,       7461,       1906,       5532,      50259,      33163,       4857,       1472,      26676,      13837,       3904,       5958,       6096,      11589,       1022,      19619,      11864,      29345,       8546,       5439,      17428,       1612,       3509,      12398,       1127,      15504,       6502,      21871,      19954,         913,      22660,      10466,       9977,      17822,       2402,      13617,         866,      15016,      76569,       6937,         449,      11690,      23747,       2757,       8932,         757
2010,      10780,       1619,      21733,       5561,     152524,      11271,       6701,       1935,       5055,      41462,      30341,       5280,       1329,      28911,      13500,       3800,       6020,       6239,       9970,         989,      18027,      11469,      27408,       8587,       5359,      16135,       1551,       3613,      10185,         997,      15556,       5250,      20639,      18319,         873,      21130,      10313,       9128,      16720,       2403,      13293,         800,      14833,      68023,       5979,         439,      10609,      25744,       2419,       8152,         592
2011,      10662,       1388,      19801,       5769,     146842,      11002,       6670,       1545,       4457,      39621,      29678,       4469,       1331,      29387,      14815,       3998,       6684,       6701,       9113,       1078,      16072,      10782,      24908,       8148,       4908,      15331,       1449,       4109,       9577,       1114,      17415,       5400,      19249,      16819,         985,      20927,      11092,       9106,      16872,       2375,      13637,         949,      14142,      63924,       6187,         528,       9770,      24820,       2108,       8273,         521
2012,       9874,       1522,      18982,       5734,     168608,      12101,       6478,       1438,       3663,      37330,      28606,       3865,       1382,      26292,      13637,       4040,       6779,       6724,       7872,         991,      14956,       9237,      25080,       8458,       4329,      16332,       1698,       4157,      10018,       1062,      16481,       5463,      17317,      16120,       1181,      19751,      11744,      10252,      15113,       2632,      13487,       1073,      12963,      65032,       6032,         460,       9129,      26663,       2234,       8230,         584
2013,      10563,       1695,      16966,       5678,     165292,      12524,       6241,       1355,       3234,      34911,      27159,       4561,       1538,      20896,      14184,       4255,       6671,       6069,       9165,         911,      13417,       9121,      24085,       7966,       4387,      16344,       1881,       4461,       9998,         944,      13746,       5984,      15483,      14406,       1435,      19525,      11282,       9912,      13766,       2239,      12601,         936,      11906,      65787,       7492,         337,       8626,      28425,       1966,       7390,         578
2014,      10141,       1739,      17587,       5601,     151852,      12574,       6110,       1267,       3783,      42579,      26854,       3879,       1661,      17451,      13861,       4151,       6906,       6318,       9891,         799,      13102,       8260,      21157,       8367,       4519,      16357,       2043,       4455,      10185,         857,      11705,       6290,      15736,      13630,       1514,      18015,      10583,       9549,      13040,       1833,      12902,       1007,      12599,      68546,       7298,         244,       7665,      30647,       1896,       9919,         603

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"Alabama - "
 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"Delaware - "
 
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate." 
,,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."  
 
,,"District of Columbia - "
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police" 
,,"2002-2008 data include reports from the Metro Transit Police" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police."  
 
,,"Florida - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies."  
 
,,"Illinois - "
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006." 
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois." 
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process."  
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates."
  
 
,,"Kansas - "
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates. " 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."  
 
,,"Kentucky - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.  " 
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate. " 
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals"  
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total."
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
  
 
,,"Minnesota - "
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."  
 
,,"Montana - "
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located." 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located." 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"New Hampshire - "
 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division."  
 
,,"New York - "
 
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."  
 
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate."
  
 
,,"Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
  
 
,,"Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Mar 24 2018
