Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated larceny-theft
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,     111336,      17428,     172375,      66630,     951580,     128172,      94485,      21922,      30326,     591210,     240623,      46735,      28216,     372862,     156741,      78384,      80361,      71594,     149752,      31372,     147407,     151933,     311153,     129500,      53266,     143287,      27098,      47054,      42097,      28111,     219767,      58004,     536012,     202059,      14621,     310673,      94432,     100765,     215119,      27046,     115144,      14678,     124127,     731224,      73352,      16424,     187564,     195221,      27310,     144924,      14194
1991,     118151,      20375,     159987,      71487,     986120,     132717,      93384,      24836,      29182,     607222,     240359,      47195,      30143,     382942,     161039,      79030,      84258,      70885,     148334,      31737,     163524,     149930,     324985,     131330,      57373,     146533,      22449,      49071,      45781,      26220,     221544,      58441,     531681,     218192,      14154,     318933,      96842,     105145,     228142,      26664,     119784,      15412,     131855,     734261,      75041,      15161,     195652,     205814,      29369,     148695,      14867
1992,     117801,      20728,     158053,      66288,     968534,     131169,      89463,      20419,      30663,     598093,     246619,      50544,      30023,     359618,     157181,      77788,      80526,      69186,     152938,      29966,     165244,     141610,     299486,     134750,      58851,     143288,      29243,      49144,      46714,      23754,     206686,      57072,     495708,     217717,      14498,     299774,      94180,     109274,     224150,      24052,     116186,      15371,     127934,     689780,      76964,      13507,     185506,     207755,      29200,     146198,      16003
1993,     111878,      21201,     172689,      67767,     945407,     124787,      85876,      20853,      31495,     603784,     246849,      51912,      29795,     360730,     154016,      73148,      76538,      69745,     163334,      26945,     163471,     136548,     290333,     129727,      62467,     145392,      30641,      46811,      46137,      23153,     195876,      56723,     481166,     220071,      14073,     295880,      95111,     110878,     220683,      24101,     117553,      14915,     137683,     664862,      72603,      16423,     181104,     205701,      28456,     139148,      14470
1994,     119951,      21824,     190649,      68478,     929640,     127600,      84721,      20828,      29711,     626578,     256208,      55260,      32597,     363888,     160043,      70507,      75459,      73449,     164081,      28257,     168608,     129962,     290172,     131344,      70621,     158283,      32817,      48547,      51893,      22260,     195618,      57343,     452322,     225937,      13899,     297792,     104025,     122506,     222280,      23039,     122252,      15916,     138173,     623947,      74554,      13154,     181619,     212198,      28189,     135559,      15254
1995,     120967,      21891,     207763,      69935,     902456,     136184,      87401,      22329,      32319,     612311,     264872,      59907,      35560,     357143,     163618,      78645,      78855,      76906,     166667,      28444,     178126,     135586,     280712,     138414,      67967,     162430,      32797,      52044,      54563,      22698,     206339,      61478,     425184,     234911,      14421,     297624,     103727,     133075,     236991,      24780,     126416,      15976,     147143,     632468,      89202,      14150,     181333,     224861,      27724,     134623,      15774
1996,     123350,      20557,     188300,      73010,     830457,     130576,      81328,      21665,      31385,     605448,     288803,      54701,      33872,     358515,     160777,      71893,      78145,      73653,     173271,      29557,     173817,     119562,     276909,     138671,      69299,     168870,      30928,      50315,      52295,      24611,     193961,      65139,     399522,     238511,      13433,     311071,     109506,     128618,     250758,      23367,     129650,      15532,     152405,     659414,      87542,      12124,     184237,     215706,      28300,     135941,      15408
1997,     127616,      20780,     195045,      72253,     784405,     119801,      78821,      25904,      26809,     594492,     262263,      48984,      32784,     350140,     158442,      71301,      91823,      73487,     163114,      27513,     166256,     115494,     276863,     137872,      71887,     155472,      30411,      48363,      53112,      23430,     184979,      67188,     386435,     238228,      13367,     315908,     109039,     136129,     246892,      21499,     131325,      17545,     156843,     645451,      89090,      11542,     180406,     213823,      26934,     131002,      15198
1998,     120943,      18611,     183137,      65525,     724262,     115871,      77472,      24649,      24360,     579752,     255459,      43914,      31385,     337191,     152790,      66016,      85329,      71971,     157507,      26457,     159019,     109275,     258186,     128689,      68525,     160363,      29940,      49420,      47367,      22079,     171166,      65031,     363295,     233325,      13134,     310612,      97593,     123841,     235873,      21391,     126412,      14006,     148057,     606967,      84255,      13084,     170012,     213773,      27127,     128134,      13759
1999,     119616,      16654,     167731,      63927,     660991,     109228,      69299,      22634,      21701,     534105,     247834,      40458,      26824,     320954,     138794,      62316,      79722,      70719,     149749,      25392,     147296,     108845,     236351,     117736,      65919,     157550,      23353,      45679,      43167,      21195,     160978,      59613,     338118,     230463,      11375,     288049,      93616,     113052,     227750,      22284,     119912,      14043,     142685,     613862,      78156,      11610,     159896,     192334,      28760,     120702,      12523
2000,     127399,      16838,     176705,      69740,     651855,     112843,      68498,      21360,      21655,     518298,     240440,      43254,      28545,     313161,     144707,      65118,      80077,      73141,     144345,      23906,     145423,     105425,     227783,     118250,      69758,     159539,      26678,      49118,      44125,      20761,     155562,      57925,     340901,     232767,      11092,     293277,      96116,     114230,     225869,      22038,     125385,      12558,     154111,     637522,      73438,      13184,     146158,     190650,      28139,     119605,      12318
2001,     119992,      16695,     186850,      69590,     697739,     121360,      65762,      19476,      22313,     516548,     238484,      44925,      28285,     306757,     147291,      66244,      77038,      71448,     139555,      24585,     145934,     106821,     226708,     124519,      70315,     167420,      24684,      52713,      45073,      20060,     156031,      56406,     329316,     237241,      11583,     295976,      94537,     123034,     223350,      23875,     126742,      12571,     165015,     669625,      70676,      12426,     157060,     195133,      28268,     125275,      12943
2002,     123932,      17739,     201541,      71129,     715692,     125193,      64735,      18555,      21708,     511478,     234591,      49344,      29060,     304227,     146073,      68411,      73877,      72378,     133302,      24591,     143320,     107922,     214367,     122150,      70468,     159921,      23679,      51440,      47459,      19468,     148061,      53406,     318025,     229307,      11501,     287045,     100185,     118925,     212441,      24051,     123196,      12139,     161610,     688992,      74795,      10684,     157548,     193526,      27524,     123365,      13303
2003,     124039,      18051,     198725,      68061,     731486,     124496,      65568,      18933,      18119,     505489,     247196,      44807,      29559,     295907,     145686,      64400,      79471,      69083,     129471,      24043,     134372,     104069,     208538,     116216,      68307,     161616,      22800,      48924,      53321,      19934,     142287,      50595,     311422,     232081,      10327,     281383,     103404,     122327,     213279,      22320,     127809,      11572,     166769,     698644,      75321,      10132,     153367,     192653,      28409,     118775,      13239
2004,     123650,      16159,     179012,      74242,     728687,     123308,      66770,      19285,      14542,     482484,     249426,      41078,      28389,     287025,     148670,      62214,      81115,      70535,     134080,      24096,     129888,     101605,     194988,     113453,      65440,     158264,      22082,      46399,      52438,      19723,     139977,      52069,     311036,     227147,       9516,     282168,     101271,     117868,     214199,      21623,     130991,      10890,     169828,     696507,      74889,      10537,     154154,     196972,      31566,     111482,      13352
2005,     120780,      17249,     176112,      75510,     692467,     127602,      64416,      18085,      14836,     472912,     249594,      42188,      27606,     277662,     151278,      60723,      76222,      70354,     112840,      24218,     128491,      98079,     194090,     114304,      60873,     159288,      23794,      45359,      52012,      18493,     136728,      50707,     302220,     221091,       9732,     279051,      93814,     113316,     214916,      19567,     126489,      10350,     169357,     677042,      72082,      10894,     154584,     198031,      32603,     110531,      12905
2006,     121451,      17284,     178321,      72646,     669103,     110372,      64765,      20449,      15908,     473774,     234445,      37784,      25154,     272578,     150655,      60998,      75450,      72197,     112605,      25465,     127502,     100725,     199183,     115693,      57406,     153874,      21659,      44710,      50429,      20179,     134687,      45864,     297827,     227114,       9672,     279718,      81853,      98897,     217142,      18852,     125075,       9954,     164183,     648711,      66480,      10857,     143292,     183179,      32305,     115682,      12255
2007,     124465,      16929,     177076,      73096,     654526,     100519,      60937,      20454,      17390,     490783,     238436,      37494,      24727,     267911,     147999,      57018,      73900,      71489,     118291,      24228,     127308,     103925,     191289,     115892,      56473,     156319,      22315,      41484,      49844,      19909,     133145,      45442,     290681,     233241,       9500,     264677,      80747,      95157,     211248,      19175,     126802,      10398,     168807,     663101,      68573,      10853,     145634,     170782,      31321,     117957,      11875
2008,     126539,      15225,     169460,      69905,     650656,      97937,      63212,      22045,      19958,     506902,     247709,      31424,      23532,     266815,     147334,      52299,      67826,      77279,     112091,      24695,     133983,     106913,     184558,     112764,      53730,     150002,      20834,      38394,      49814,      22714,     138545,      46995,     297962,     234480,       9782,     260788,      80265,      92677,     219115,      20926,     126316,      10266,     166793,     654435,      70299,      11802,     151191,     167013,      31967,     116456,      11584
2009,     118072,      15251,     155976,      68228,     615402,      95079,      59992,      20836,      19267,     479867,     229216,      33415,      23066,     248821,     137190,      49757,      65499,      72938,     114102,      23955,     125771,     106799,     178628,     105160,      52329,     140764,      19528,      37496,      46463,      22748,     128303,      46182,     292897,     215923,       9474,     249777,      83813,      85064,     204588,      19403,     119250,      10891,     158309,     678455,      69556,      11090,     150374,     168421,      31453,     111947,      11310
2010,     115564,      15535,     154137,      65796,     600558,      97534,      56413,      21593,      19514,     458454,     226161,      31681,      23594,     242681,     137204,      48194,      63774,      74488,     110260,      24547,     118578,     105124,     169748,     103429,      52784,     140526,      20166,      36896,      42533,      22789,     128754,      44503,     293232,     208057,       9137,     248581,      81303,      87494,     204440,      18432,     121544,      11196,     153729,     654626,      67242,      10373,     145990,     168490,      28104,     107993,      11126
2011,     111411,      14854,     155400,      70645,     596905,      96054,      55067,      22001,      21347,     461408,     231543,      31240,      24629,     237362,     140630,      50472,      63259,      79586,     113174,      24886,     114951,     101644,     156666,     102354,      54179,     138879,      19089,      38060,      40156,      25398,     129066,      46730,     287361,     215453,       9891,     246744,      80064,      92059,     208604,      18765,     122255,      11423,     153928,     613131,      64727,      10720,     142476,     162828,      26656,     104472,      10493
2012,     111523,      15565,     159808,      70982,     635090,     101091,      55904,      21880,      23575,     442095,     223875,      31901,      23203,     235314,     136668,      49116,      65413,      76199,     112764,      24931,     113550,      99453,     158609,     104316,      51520,     140971,      20484,      38301,      45372,      25024,     122662,      48247,     293562,     213151,      10687,     245372,      83131,      94114,     204409,      18478,     122340,      12973,     148731,     606425,      67157,      11014,     139654,     166338,      30800,     104619,      10513
2013,     108862,      16599,     158036,      70430,     621557,     102375,      52099,      21347,      24547,     433344,     229190,      32928,      21999,     216059,     130534,      47803,      61557,      72048,     115300,      23063,     112551,      97437,     149794,     100514,      52192,     134514,      20192,      35791,      46132,      23355,     118005,      51146,     286676,     201043,      10942,     227799,      81624,      94363,     197410,      17881,     119730,      11955,     144443,     605440,      67115,      10193,     136215,     172227,      28055,      93946,      10275
2014,     104238,      15445,     154091,      68627,     592670,      99464,      51005,      20865,      26898,     493647,     228034,      31640,      22227,     199926,     124022,      46477,      56697,      69604,     112596,      20592,     108745,      92043,     137206,      96237,      58591,     124622,      19674,      35074,      42426,      21022,     111578,      49082,     272765,     192694,      11384,     227668,      75891,      87526,     188256,      16279,     117594,      12077,     141206,     576154,      65895,       7273,     129933,     175769,      26779,      89103,       9185

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.
 
 
,,"Alabama - "
 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"Delaware - "
 
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate." 
,,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."  
 
,,"District of Columbia - "
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police" 
,,"2002-2008 data include reports from the Metro Transit Police" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police."  
 
,,"Florida - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies."  
 
,,"Illinois - "
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006." 
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois." 
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process."  
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates."
  
 
,,"Kansas - "
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates. " 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."  
 
,,"Kentucky - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.  " 
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate. " 
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals"  
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total."
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
  
 
,,"Minnesota - "
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."  
 
,,"Montana - "
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located." 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located." 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"New Hampshire - "
 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division."  
 
,,"New York - "
 
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."  
 
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate."
  
 
,,"Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
  
 
,,"Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Mar 24 2018
