Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,467,41,284,241,3553,138,166,33,472,1379,767,44,27,1182,344,54,98,264,724,30,552,243,971,117,313,449,39,43,116,21,432,139,2605,711,5,663,253,108,801,48,390,14,511,2389,52,13,545,238,102,225,22
1991,469,42,291,264,3859,199,187,37,482,1248,849,45,19,1300,423,57,153,253,720,15,569,249,1009,131,332,543,21,52,152,40,406,163,2571,769,7,783,230,133,758,37,402,12,547,2652,52,12,583,211,111,239,15
1992,455,44,312,259,3921,216,166,32,443,1208,741,42,37,1322,464,44,151,216,747,21,596,214,938,150,320,547,24,68,145,18,397,141,2397,723,12,724,210,139,746,36,373,4,520,2239,54,12,564,258,115,218,17
1993,484,54,339,247,4096,206,206,35,454,1224,789,45,32,1332,430,66,161,249,874,20,632,233,933,155,357,590,25,63,144,23,418,130,2420,785,11,667,273,140,823,39,377,24,521,2147,58,21,539,271,126,222,16
1994,501,38,426,294,3703,199,215,33,399,1165,703,50,40,1378,453,47,170,244,856,28,579,214,927,147,409,554,28,51,170,16,396,177,2016,772,1,662,226,150,712,41,353,10,482,2022,56,6,571,294,99,227,16
1995,475,55,439,259,3531,216,150,25,360,1037,683,56,48,1221,466,51,159,276,740,25,596,217,808,182,348,469,35,48,163,21,409,148,1550,677,6,600,400,129,755,33,292,13,557,1693,76,13,503,275,89,219,10
1996,444,45,377,219,2916,180,158,31,397,1077,630,40,43,1179,420,53,170,228,762,25,588,157,722,167,301,433,34,48,220,20,338,197,1353,619,14,538,223,129,686,25,332,9,503,1477,63,11,500,255,69,204,16
1997,426,54,375,250,2579,157,124,22,301,1012,563,47,39,1096,430,52,150,228,682,25,502,119,759,129,358,426,42,50,187,16,337,134,1093,614,6,523,229,95,705,25,314,10,511,1327,50,9,488,244,75,205,17
1998,354,41,376,201,2171,183,135,21,260,967,618,24,36,1008,454,54,173,237,560,26,513,124,721,121,315,399,18,51,170,18,325,190,924,612,7,443,204,126,633,24,306,10,460,1346,65,13,422,224,78,190,23
1999,345,52,384,143,2005,185,107,24,241,859,583,44,25,939,391,43,160,203,468,25,465,122,695,134,213,359,22,60,165,18,287,170,903,552,10,397,231,88,592,36,258,18,391,1217,44,17,392,171,79,179,11
2000,329,27,359,168,2079,134,98,25,239,903,651,35,16,898,352,46,169,193,560,15,430,125,669,151,255,347,20,63,129,22,289,135,952,560,4,418,182,70,602,45,291,7,410,1238,43,9,401,196,46,169,12
2001,379,39,400,148,2206,158,105,23,231,874,598,32,30,982,413,50,92,181,501,19,446,143,672,119,282,372,34,43,180,17,336,99,960,505,7,452,185,84,651,39,330,7,423,1332,67,7,364,179,40,192,9
2002,303,33,387,142,2395,179,84,26,264,911,606,24,36,961,362,44,78,191,593,14,513,173,678,112,264,331,16,48,181,12,339,152,909,548,5,526,163,72,624,41,298,11,420,1302,47,13,388,184,57,154,15
2003,299,39,441,180,2407,185,112,21,249,924,657,22,26,895,338,50,125,181,584,16,525,140,612,127,267,289,30,56,197,17,406,116,934,506,9,526,206,68,647,25,303,10,396,1422,60,15,416,182,73,183,14
