Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/
    
Estimated property crime total
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,     169974,      25457,     265229,     101897,   1654186,     182106,     158867,      31344,      50470,     978944,     389165,      64563,      38069,     567841,     233376,     105550,     117571,     107208,     235822,      43647,     234842,     274442,     483764,     185185,      90803,     225422,      34702,      61290,      65652,      38976,     371023,      89448,     932416,     322306,      18196,     470469,     158889,     146073,     361805,      49378,     176729,      19116,     213648,   1200151,      92620,      23713,     253063,     278440,      41855,     202052,      17732
1991,     184882,      29000,     252559,     108677,   1726391,     186235,     158770,      35055,      49722,     977570,     381165,      65020,      40578,     587868,     241930,     107069,     125616,     108430,     232732,      44900,     255299,     274990,     499781,     185268,      99317,     239982,      28347,      64031,      72183,      36780,     372212,      90474,     917467,     352368,      17326,     489100,     161449,     153370,     371814,      45957,     185359,      20366,     229856,   1210784,      94178,      21764,     266160,     290115,      44528,     207560,      18762
1992,     181837,      28816,     243629,     100402,   1716137,     186684,     149535,      29126,      50502,     964533,     382934,      67901,      39636,     556900,     236584,     103459,     121334,     104692,     238438,      41900,     256418,     253344,     456800,     190520,     101181,     226246,      36472,      63846,      73077,      32828,     345718,      86942,     858178,     350447,      17935,     456017,     154459,     158100,     356155,      42044,     178298,      19939,     220534,   1103779,      97322,      18813,     250211,     289581,      43455,     202448,      19831
1993,     171598,      28795,     264371,     102231,   1678884,     176856,     137443,      29304,      51091,     977363,     378348,      70505,      39161,     544869,     227149,      99080,     113360,     105979,     248461,      37519,     253647,     245831,     441767,     183347,     105308,     227731,      38699,      62725,      73685,      31131,     328867,      86236,     814824,     345377,      17387,     441550,     150546,     159558,     343841,      40973,     177779,      19661,     228117,   1023612,      91816,      22223,     242975,     285753,      42300,     190923,      18221
1994,     178015,      29947,     294273,     103115,   1622102,     175808,     134030,      29971,      48009,     991105,     376926,      75672,      42954,     548222,     233975,      94475,     112477,     110725,     245488,      38971,     259039,     225532,     444325,     181856,     115924,     240898,      41445,      65746,      82693,      29837,     319856,      87638,     745845,     351397,      16933,     441380,     160250,     178240,     342901,      37323,     182114,      20726,     226247,     949387,      95332,      18290,     241763,     294734,      42136,     186704,      19122
1995,     179294,      30097,     316355,     102780,   1536830,     185705,     134188,      31790,      52697,     939288,     385005,      81938,      47444,     527572,     238317,     106504,     114558,     115298,     246132,      39132,     267625,     221971,     429223,     190911,     108195,     237278,      40246,      68140,      86203,      29170,     326056,      94508,     674342,     359256,      17817,     437424,     161693,     189765,     354623,      38378,     186656,      20799,     241315,     940033,     112417,      19395,     240084,     314213,      41093,     184665,      19517
1996,     181803,      28667,     284964,     104790,   1385135,     180218,     124924,      30643,      51188,     928273,     416986,      74639,      44532,     524777,     231376,      96296,     109772,     110531,     257130,      40636,     260231,     194636,     430020,     192109,     109581,     240781,      38084,      66110,      83047,      31436,     303657,      98698,     619250,     361616,      16648,     449935,     166892,     177295,     370851,      36099,     192986,      20443,     248729,     968732,     113079,      16973,     242100,     303111,      41510,     184143,      19261
1997,     186809,      27840,     299323,     105759,   1312367,     166902,     117505,      36578,      41341,     915613,     388155,      68193,      44388,     509113,     231723,      99986,     122553,     109819,     243423,      37396,     244842,     185437,     422916,     191006,     113644,     228889,      37592,      63717,      88307,      29635,     287038,     104721,     584438,     362672,      16821,     455799,     163698,     188916,     359323,      32777,     193402,      22491,     253484,     948231,     116569,      15953,     237773,     307742,      40868,     176145,      18843
1998,     177779,      25316,     280001,      96271,   1188791,     163189,     111978,      34230,      37222,     887107,     373717,      60677,      42185,     487915,     220529,      91272,     117114,     109721,     232378,      36261,     234624,     173011,     398773,     176541,     109345,     232284,      36564,      65752,      81006,      27405,     260810,     100011,     536287,     357892,      16535,     444438,     149426,     171545,     342318,      31672,     186960,      18227,     234588,     898496,     109025,      17924,     226461,     309419,      41627,     172084,      17124
1999,     171398,      23099,     255401,      92283,   1053285,     151002,      99894,      30922,      33420,     808674,     359383,      54539,      36363,     463939,     201547,      84463,     107644,     104768,     219219,      34618,     215973,     167437,     369887,     158717,     108560,     223010,      29103,      61277,      73874,      26247,     243333,      89220,     489596,     354497,      14748,     414264,     140220,     153434,     323021,      32657,     173987,      18159,     219302,     896261,     100130,      16059,     210260,     280793,      42825,     160154,      15468
2000,     180539,      23087,     271811,      98115,   1056183,     156937,      99033,      29727,      33000,     780377,     347630,      60033,      37961,     445278,     206905,      86834,     108057,     107723,     211904,      32003,     213422,     161901,     353297,     157798,     103644,     225919,      32198,      64479,      74823,      27901,     233637,      86605,     483078,     355921,      14171,     420939,     140125,     153780,     316274,      33323,     181290,      16252,     237985,     919658,      94247,      17494,     194405,     279144,      41344,     159424,      14969
2001,     173253,      23160,     293874,      99106,   1134189,     170887,      95299,      27399,      35232,     782517,     347872,      62830,      38181,     434648,     211548,      88634,     105537,     107356,     207693,      33154,     219512,     167079,     352353,     165046,     109609,     238411,      30175,      68963,      77486,      27089,     240551,      83095,     458003,     363777,      14834,     435115,     141679,     164524,     313408,      35742,     186054,      16473,     252992,     976654,      90993,      16334,     207506,     287234,      41085,     166924,      16120
2002,     180400,      24118,     318296,     101171,   1176484,     180054,      93426,      26967,      36477,     777236,     346559,      71976,      39128,     430479,     208965,      92877,     100768,     108590,     198838,      32985,     217105,     167753,     335060,     164026,     109584,     230520,      28751,      68178,      83896,      26250,     227715,      80477,     442091,     353708,      14762,     428976,     148128,     161145,     300868,      35342,     183808,      15992,     249399,   1004274,      97641,      14942,     207783,     288967,      41099,     164749,      16494
2003,     182241,      24386,     314335,      99084,   1215086,     179706,      92981,      27943,      32696,     757696,     369589,      65867,      40042,     415885,     208039,      87554,     109276,     103370,     193698,      32078,     209418,     164543,     330565,     157663,     106867,     233564,      28428,      65189,      96128,      26456,     220350,      76816,     432079,     359660,      13364,     417483,     151208,     169863,     300639,      32231,     187592,      15324,     256565,   1016735,     100084,      13803,     200449,     291542,      42370,     157684,      16648
2004,     182340,      22172,     291203,     110911,   1227194,     180322,      93942,      27256,      26896,     727141,     376656,      60525,      38799,     403486,     211929,      85775,     109771,     105209,     199153,      31740,     202474,     158150,     309805,     155019,     100980,     224629,      27215,      61512,      98215,      26658,     211313,      79895,     422734,     355328,      12493,     419337,     149472,     166475,     299611,      31166,     190456,      14885,     254991,   1010702,      97762,      14559,     200368,     300837,      46326,     146710,      16889
2005,     177393,      23975,     287345,     112914,   1200531,     188449,      90270,      26245,      26133,     712998,     378534,      61115,      38556,     394670,     216778,      84370,     104588,     105608,     166611,      31889,     198483,     151727,     312892,     158301,      95231,     227809,      29407,      60348,     102424,      24031,     203391,      79575,     405990,     353855,      12848,     420705,     143406,     160199,     300444,      29287,     185606,      13694,     256093,     990293,      95546,      14749,     200404,     307661,      47757,     147556,      16070
2006,     181249,      23975,     294389,     112025,   1159988,     163439,      90638,      29670,      27064,     721101,     362712,      54247,      35135,     387478,     217783,      84202,     104260,     109428,     174975,      33658,     195484,     153943,     325594,     159276,      92853,     224007,      26986,      59411,     102338,      26060,     198820,      76000,     398577,     364549,      13359,     423334,     129728,     137858,     304589,      27914,     184712,      13812,     249860,     959846,      89572,      14920,     190257,     288456,      47941,     156748,      15381
2007,     184082,      23096,     287308,     112130,   1112510,     145808,      86528,      29216,      28922,     746249,     371248,      52866,      34124,     377322,     213887,      79133,     102961,     107987,     180516,      32249,     192796,     154743,     308550,     158257,      90887,     225113,      27837,      55765,      97118,      26394,     192338,      75168,     383624,     369893,      12796,     397681,     128714,     132773,     293850,      27576,     189304,      13829,     252342,     985421,      93082,      14702,     191763,     261776,      45620,     159305,      15053
2008,     190416,      20090,     266653,     110360,   1080996,     139340,      87210,      31385,      30211,     758889,     387917,      45944,      31940,     378355,     213639,      73273,      94882,     114492,     171179,      32433,     198165,     155919,     295100,     149517,      85488,     216522,      26300,      51350,      90006,      28387,     199127,      75718,     388599,     372763,      13029,     391667,     126535,     125169,     300294,      29895,     189950,      13867,     251089,     969865,      92373,      15903,     196726,     249283,      45971,     155456,      14515
2009,     178007,      20538,     236721,     109078,   1009433,     134196,      82625,      29685,      28495,     712010,     360985,      47516,      31220,     353347,     199907,      70080,      90930,     108914,     172619,      31706,     182295,     153178,     284019,     139286,      87327,     201783,      24826,      49731,      80976,      28790,     180752,      74639,     377537,     343707,      12813,     376446,     132350,     114780,     277182,      27558,     178310,      14378,     237157,     995082,      91751,      15010,     194020,     245215,      46215,     147692,      14243
2010,     168828,      20259,     226802,     103820,     981939,     135001,      78259,      31078,      28802,     669035,     353449,      45667,      31436,     349064,     199274,      68740,      89109,     111170,     165667,      32900,     173309,     154496,     271501,     136431,      88596,     200858,      25409,      48827,      75004,      29230,     183042,      70776,     379710,     329202,      12010,     376836,     129464,     116657,     276366,      26959,     181098,      15188,     232855,     951246,      88316,      14160,     187403,     249426,      41301,     142781,      13869
2011,     173192,      19094,     229896,     110430,     973822,     132781,      77205,      31163,      29654,     671200,     357235,      43874,      32875,     344468,     206016,      72043,      88655,     119037,     168529,      33829,     166846,     148829,     251329,     136183,      89809,     199085,      23885,      50894,      70075,      32756,     189719,      73549,     371837,     337806,      13334,     380572,     127618,     121869,     283442,      27976,     183243,      15299,     230900,     892810,      84084,      15086,     182902,     244209,      39009,     139912,      12878
2012,     168878,      20037,     231701,     109389,   1049465,     139355,      77169,      30707,      30757,     632988,     339473,      43419,      31825,     332706,     197994,      70357,      91066,     112800,     162673,      33398,     162309,     143325,     249249,     138152,      83933,     199813,      26102,      51203,      77510,      32074,     181481,      75094,     375268,     328594,      14297,     370435,     130969,     126417,     276562,      27039,     181049,      17326,     217925,     876459,      86284,      15653,     178434,     254377,      44500,     140780,      13222
2013,     161835,      21211,     223294,     106477,   1018907,     139974,      71274,      29001,      31097,     607170,     339808,      45266,      30230,     296048,     187472,      67976,      85704,     104448,     165679,      30454,     157918,     137274,     230135,     131193,      81548,     189655,      26195,      49197,      79177,      29278,     167634,      78958,     358603,     305631,      15356,     338414,     126418,     125083,     263176,      25741,     173261,      16274,     207683,     862289,      88334,      13882,     171558,     259139,      39929,     125694,      12809
2014,     154094,      20334,     215240,      99018,     947192,     135510,      69070,      27900,      34147,     679446,     331316,      43297,      30316,     267385,     174776,      65056,      79431,      99166,     160824,      26421,     149859,     125267,     202547,     125377,      87462,     176237,      25312,      47479,      74538,      26041,     154993,      73877,     339282,     285697,      15605,     324528,     115982,     114305,     247016,      22935,     167217,      15902,     200447,     813934,      84711,       9551,     160720,     261706,      37648,     120238,      11477

		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.

"           Rates are the number of reported offenses per 100,000 population"  
 
,,"Alabama - "
 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"Delaware - "
 
,,"Since complete 1995 data were not available from Delaware, standard estimation procedures were applied to derive the 1995 state estimate." 
,,"The state UCR Program was unable to provide 1998 forcible rape figures in accordance with national UCR guidelines.  The 1998 forcible rape total for Delaware was estimated by reducing the number of reported offenses by the proportion of male forcible rape victims statewide."  
 
,,"District of Columbia - "
 
,,"1999-2008 District of Columbia data include reports from the Zoological Police" 
,,"2002-2008 data include reports from the Metro Transit Police" 
,,"2012 data includes offenses reported by the Zoological Police and the Metro Transit Police."  
 
,,"Florida - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide an aggregated state total and data were received from 94 individual Florida agencies."  
 
,,"Illinois - "
 
,,"The state UCR Program was unable to provide 1985-current forcible rape figures in accordance with national UCR Program guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state.  Rockford, Illinois, has provided valid forcible rape counts as of 2006." 
,,"For 1993 state NIBRS conversion efforts resulted in estimation for Illinois.  Since valid annual totals were available for approximately 60 Illinois agencies, those counts were maintained.  The counts for the remaining jurisdictions were replaced with the most recent valid annual totals or were generated using standard estimation procedures.  The results of all sources were then combined to arrive at the 1993 state total for Illinois." 
,,"For 1994 state NIBRS conversion efforts resulted in estimation for Illinois.  Illinois totals were generated using only the valid crime rates for the East North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"For 1996-current, the state UCR Program was unable to provide complete offense figures in accordance with UCR guidelines.  Valid Part I counts were available for most of the largest cities (100,000 and over in population).  For other agencies, the only available counts generated by the Illinois State Program were state totals based upon an incident-level system without indication of multiple offenses recorded within single incidents.  Therefore, the UCR Hierarchy Rule could not be applied in order to convert the state's data to Summary Reporting System data.  (The Hierarchy Rule requires that only the most serious offense in a multiple-offense criminal incident is counted.)  To arrive at a comparable state estimate to be included in national compilations, the Illinois State Program's state totals (which were inflated because of the nonapplication of the Hierarchy Rule) were reduced by the proportion of multiple offenses reported within single incidents in the NIBRS database.  Valid totals for the large cities were excluded from the reduction process."  
 
,,"Iowa - NIBRS conversion efforts resulted in estimation for Iowa in 1991.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates."
  
 
,,"Kansas - "
 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1993.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the West North Central Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates. " 
,,"NIBRS conversion efforts resulted in estimation for Kansas in 1994.  State totals were generated using only the valid crime rates for the West North Central Division.  Within each population group, the state's offense totals were estimated based on the rate per 100,000 inhabitants within the remainder of the division.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  The state UCR Program was able to provide valid 1994 state totals which were then updated using 1995 crime trends for the West North Central Division.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The Kansas state estimate was extrapolated from 1996 January-June state totals provided by the Kansas State UCR Program.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  To arrive at 1998 estimates, 1997 state totals supplied by the Kansas State UCR Program were updated using 1998 crime trends for the West North Central Division." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kansas, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kansas is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kansas, the 1999 state estimate was updated using 2000 crime trends for the West North Central Division."  
 
,,"Kentucky - "
 
,,"Reporting problems at the state resulted in no usable 1988 data.  The state total was estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the geographic division in which the state resides was applied to the previous valid annual totals.  The state total was compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Kentucky is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Kentucky is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Kentucky, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Kentucky, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Kentucky is located. " 
,,"The state UCR Program was unable to provide complete 2001 offense figures in accordance with UCR guidelines.  To arrive at the 2001 estimate for Kentucky, the 2000 state estimate was updated using 2001 crime trends reported for the East South Central Division.  " 
,,"The state UCR Program was unable to provide complete 2002 offense figures in accordance with UCR guidelines.  To obtain the 2002 state crime count, the FBI contacted the state UCR Program, and the state agency was able to provide their latest state total, 2000.  Therefore, the 2001 state estimate was updated for inclusion in the 2002 edition of Crime in the United States by using the 2001 crime trends for the division in which the state is located.  To derive the 2002 state estimate, the 2002 crime trends for the division were applied to the adjusted 2001 state estimate. " 
,,"The state UCR Program was unable to provide complete 2003 offense figures in accordance with UCR guidelines.  To obtain the 2003 estimate, the 2003 crime trend for the East South Central Division was applied to an adjusted 2002 state estimate.  The 2002 state count was reestimated by applying the 2002 crime trend for the East South Central Division using a more current figure, 2001 state totals, provided by the state UCR Program.  The adjusted 2002 estimate differs from the figure published in the 2002 edition of Crime in the United States which was originally estimated using 2002 state totals"  
 
,,"Maine - The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The Maine Department of Public Safety forwarded monthly January through October crime counts for each law enforcement contributor; since 12 months of data were not received, the national Program estimated for the missing data following standard estimation procedures to arrive at a 1999 state total."
  
 
,,"Michigan - The state UCR Program was unable to provide 1993 forcible rape figures in accordance with UCR guidelines.  The rape totals were estimated using national rates per 100,000 inhabitants within the eight population groups and assigning the forcible rape volumes proportionally to the state."
  
 
,,"Minnesota - "
 
,,"All agencies 1993 and 2005-Present (with the exception of Minneapolis and St. Paul) - The data collection methodology for the offense of forcible rape used by the State Uniform Crime Reporting (UCR) Program does not comply with national UCR Program guidelines. Consequently, their figures for forcible rape and violent crime (of which forcible rape is part) are not included in this tool."  
 
,,"Montana - "
 
,,"The state UCR Program was unable to provide complete 1994 offense figures in accordance with UCR guidelines.  State totals were estimated by updating previous valid annual totals for individual jurisdictions, subdivided by population group.  Percent changes for each offense within each population group of the Mountain Division were applied to the previous valid annual totals.  The state totals were compiled from the sums of the population group estimates.  " 
,,"The state UCR Program was unable to provide complete 1995 offense figures in accordance with UCR guidelines.  State estimates were computed by updating the previous valid annual totals using the 1994 versus 1995 percent changes for the Mountain Division." 
,,"The state UCR Program was unable to provide complete 1996 offense figures in accordance with UCR guidelines.  The 1995 and 1996 percent changes within the geographic division in which Montana is categorized were applied to the valid 1995 state total to generate the 1996 state total. " 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Montana is categorized were applied to the valid 1996 state total to effect the 1997 state total. " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Montana is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  To arrive at the 1999 estimate for Montana, the 1998 state total supplied by the state UCR Program was updated using 1999 crime trends for the division in which Montana is located." 
,,"The state UCR Program was unable to provide complete 2000 offense figures in accordance with UCR guidelines.  To arrive at the 2000 estimate for Montana, the 1999 state total supplied by the state UCR Program was updated using 2000 crime trends for the division in which Montana is located." 
,,"2011 - because of changes in the state's reporting practices, figures are not comparable to previous years' data."  
 
,,"New Hampshire - "
 
,,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which New Hampshire is categorized were applied to the valid 1996 state total to effect the 1997 state total.  " 
,,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which New Hampshire is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received." 
,,"The state UCR Program was unable to provide complete 1999 offense figures in accordance with UCR guidelines.  The state total for New Hampshire was estimated by using the 1998 figures for the 1999 nonreporting areas and applying the 2-year percent change for the New England Division."  
 
,,"New York - "
 
,,"2012 - because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."  
 
,,"Oklahoma - For 1995, the increase in murders was the result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City."
  
 
,,"Pennsylvania - Since complete 1995 data were not available from Pennsylvania, standard estimation procedures were applied to derive the 1995 state estimate."
  
 
,,"Vermont - The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
  
 
,,"Wisconsin - The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Mar 24 2018
