Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1990,1037,1627,1141,981,565,906,2097,1113,1562,454,1186,1414,975,724,1099,986,1179,1213,1580,1572,1596,828,663,1028,802,1394,983,1128,1179,1313,864,1048,511,556,1003,720,1044,966,688,1175,1383,858,869,716,1018,1331,1048,1239,1142,897,991
1991,1068,1822,897,783,685,1245,1944,1111,1903,475,1088,1630,1029,714,922,1012,934,1046,1156,1253,1417,790,689,1146,1053,1415,890,1007,1564,1339,1033,1195,538,510,932,759,1079,1087,614,1091,1137,780,915,626,1359,1222,1336,1185,918,1018,1382
1992,1058,1156,1088,1398,629,1471,1972,1393,1124,526,1228,1435,874,752,1315,972,1137,1259,1142,1026,1626,738,761,1297,1074,1451,728,1071,796,1922,841,1347,529,616,901,587,1075,2039,667,1433,1434,669,913,634,1145,1333,1359,1247,892,1097,1420
1993,1088,1643,1120,847,651,1569,1660,849,1726,707,1254,1759,1323,810,1361,1240,1144,1091,1164,1203,1282,949,682,1212,1229,1466,965,833,1078,1620,986,853,556,653,835,658,1492,1160,694,1547,960,1040,831,613,1242,956,1387,1111,981,1340,1167
1994,1559,1494,773,944,619,1446,1595,1191,1107,632,1238,2423,1278,799,1032,1280,1064,1028,1501,1537,1400,1060,685,1360,752,1442,1246,1116,1534,1837,1064,1382,477,670,1115,584,1213,1128,654,1321,1139,1185,1028,655,1041,1906,1531,1190,1217,1272,1848
1995,1266,2008,1360,999,723,1552,2269,1848,1182,612,897,1292,1116,875,1444,942,921,1149,1090,1088,1627,1475,994,1848,1028,1373,1105,1155,1314,1556,1400,1100,716,888,1217,988,880,970,683,1373,1400,1610,1268,634,919,1242,1391,1252,870,1318,1136
1996,1258,1907,1274,978,818,1329,3087,1402,1578,513,1666,1893,1341,1107,1298,1527,1460,1439,1290,1211,2565,1932,1143,1225,1316,1513,1566,1500,1615,1734,1217,1091,746,1008,1184,1063,1089,1274,974,1036,1405,1003,1087,763,1330,1250,1459,1608,1301,1780,858
1997,1607,1258,1297,1154,864,1944,1989,2062,984,583,916,1399,1339,782,1183,1282,1614,1659,1551,1301,1476,1383,1108,1510,1386,2060,1145,1528,1576,1604,1424,1157,634,917,1361,894,1025,1788,964,2235,1609,1145,1358,880,1785,1727,1897,1715,1315,1150,1441
1998,1307,2124,1255,1160,577,1086,2728,1753,1311,767,1179,2369,1090,1234,1589,1202,1617,1511,1660,1049,2161,1961,917,2115,1158,1868,1133,1549,1225,1866,1436,1398,777,1022,1179,1576,1232,1927,1080,2657,1310,1013,1307,662,1375,1591,2195,1379,780,1271,1316
1999,1189,2226,1133,1026,703,1483,2296,2281,1599,627,1355,1832,1413,1028,1719,1130,2078,1484,1244,1319,2217,2023,1026,1527,1408,1191,966,1366,1764,1952,1405,1746,879,960,1383,989,1491,1252,1141,1980,1728,944,1310,1020,1615,1407,1770,2080,1149,1878,1285
2000,1072,1159,1210,772,686,1237,1357,1508,1072,743,831,1193,1192,966,679,811,1168,848,828,853,1400,1357,1095,1703,1354,1187,1001,1018,1011,1243,991,1248,581,806,1065,732,709,936,704,1018,937,687,930,785,1041,921,1065,1211,645,952,1056
2001,1006,2012,1441,1144,727,1190,1240,1468,1023,417,1073,1256,966,879,948,1133,1115,1009,1195,952,1652,1518,868,1134,1186,1204,737,1116,1130,719,933,1238,600,951,804,661,690,752,723,1147,1023,856,791,512,1601,944,1148,1264,674,1123,1166
2002,1062,1073,1003,778,766,1464,1370,1685,995,828,1107,1371,1121,856,748,1152,1047,874,1258,846,1532,1153,1115,1196,766,1074,1212,1038,1161,1289,1605,1061,580,716,824,777,613,855,795,875,1224,953,1111,563,1146,830,1290,964,699,946,976
2003,1580,981,1422,776,819,1158,1561,1378,1418,759,979,1332,982,1072,959,884,1326,857,1103,945,1223,953,950,1228,1113,875,1067,1306,1554,1304,1023,1142,872,941,852,930,781,965,778,1249,1121,1004,1181,762,902,977,1563,1395,993,978,1000
2004,1303,2071,1143,994,660,1590,1648,1421,1864,632,618,1690,1387,823,1151,1521,1749,1218,1243,1223,1692,1667,858,1070,1132,1073,709,1332,1382,1324,1283,1584,792,812,1251,977,1122,1051,1039,1972,1021,995,1057,549,927,1270,1116,1068,1173,1337,1146
2005,1215,1331,1271,1309,460,1287,1633,1076,2167,810,838,1212,1254,986,1100,1339,985,898,1297,1433,1477,1754,915,1244,1292,989,1161,1447,1680,2026,2257,1700,827,964,1221,1046,1449,1391,745,1456,1204,1369,1191,420,1303,1309,1185,1045,1076,1178,1508
2006,1014,1495,1246,767,695,1524,2162,1730,1679,629,1210,1571,1312,1167,1236,1491,1252,1051,1425,1797,1601,2079,966,1218,1583,1402,697,1490,1252,1479,1979,1257,989,815,1405,633,1597,1396,869,1823,1347,1641,755,828,1671,1266,1592,1244,1214,1146,1503
2007,1420,1583,1555,1348,618,1014,2049,2159,1097,570,1078,2125,1291,950,1255,1451,1805,1211,937,1398,1661,2231,798,1888,951,1104,1699,1379,1294,1846,1458,1474,918,1072,1280,1085,1453,1357,932,1849,1553,900,1116,700,1218,1398,1365,1736,989,1040,1363
2008,1659,2302,1125,1194,829,1898,2701,1388,1763,858,1164,1481,1681,1325,1185,1293,1410,812,1486,1436,1769,1674,1154,1427,830,1146,1764,1254,2658,3204,2297,1381,682,846,1188,848,931,1374,589,2399,1121,995,1211,674,1526,982,1447,2021,1404,852,1577
2009,904,1751,1241,909,619,1595,2308,1781,2088,706,1256,2023,1264,941,1085,1535,1788,1313,1813,1739,1674,1749,1003,1237,1304,1595,1002,1657,1097,1856,1919,1494,599,576,1738,626,1139,1644,937,1446,1113,1289,988,743,1588,1438,1193,1199,913,806,2131
2010,2396,2390,2227,2464,1182,2481,2095,2255,3333,1544,1822,2731,1869,1474,2573,1342,1816,2823,3248,1687,2297,2193,1737,1606,2830,2157,1847,1761,1922,1651,2443,3016,1320,1923,2311,1493,2073,1505,1508,1730,1460,2045,1257,1159,1962,2247,1965,2060,2518,1435,2181
2011,2021,3710,2424,1849,1378,2553,3014,1745,2109,1138,2483,2531,3488,1374,2309,1974,1950,1847,1929,1983,2125,3226,1844,2380,2366,2157,2036,2693,2669,1652,3028,2154,1006,1560,2960,1200,2395,1607,1694,2283,1702,2147,2556,1153,1659,2007,1773,1983,1766,2067,2277
2012,2529,2839,2922,2812,1238,2708,2853,1976,3671,1110,1504,2255,3173,1328,1787,2138,1812,1900,1611,2247,1851,3773,1515,1339,1546,2042,2565,2699,2533,2224,1960,2267,1585,1294,2123,1723,2821,2330,1405,2561,2157,1705,2407,950,2944,3030,2166,2249,2774,1709,2820
2013,5511,5446,4365,2402,1811,4129,3238,4350,5529,2815,4236,3918,5484,3287,4508,6134,4496,3924,2543,3863,2970,5303,1587,3992,2730,4134,5946,4217,3178,3967,4464,4408,2267,2974,3451,2448,3442,2887,2936,3852,2388,2917,3435,1360,1553,4013,2740,3386,3454,2629,3988
2014,1529,3153,2304,2546,894,2414,2665,2970,4402,950,2009,2676,2572,1625,1943,3425,2863,1580,1862,2171,4272,2662,1199,3207,1294,3030,1778,2254,1836,3253,2693,3312,1781,1710,3138,1393,2775,2998,2266,4001,2244,3542,2326,1344,3231,3098,2946,2195,2195,2154,2019
2015,3419,3485,2008,1572,1711,3682,4449,3392,2861,1395,1401,2840,1260,1999,1682,3275,3731,2269,2140,1929,2692,2790,2005,3063,1071,2607,2937,2937,2272,3519,3132,2885,2205,1343,3233,1957,1937,2374,2227,3247,2266,2604,1708,1289,2462,2622,2439,3253,3132,1487,2024
2016,2301,4086,1971,2165,1075,4125,3404,2992,2734,835,1679,2510,1261,1761,2877,2484,3268,2005,1197,3346,2591,2911,1908,4045,1226,1719,2880,2678,2137,2913,2867,2961,1405,1629,2290,1894,1652,2622,2036,2828,3153,3075,1387,1407,2237,1364,2436,2092,1994,1845,3122
