State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,
Alabama,6.8,7.3,7.6,7.3,6.2,6.0,5.2,5.0,4.4,4.7,4.6,5.1,5.9,6.0,5.7,4.5,4.0,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,,,,,,,,,,
Alaska,7.2,8.5,8.9,7.7,7.6,7.3,7.6,7.1,6.3,6.5,6.4,6.4,7.3,7.8,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,7.1,6.9,6.9,6.5,,,,,,,,,,
Arizona,5.3,5.9,7.5,6.4,6.1,5.3,5.6,4.6,4.3,4.4,4.0,4.8,6.1,5.7,5.0,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.3,7.7,6.8,6.1,,,,,,,,,,
Arkansas,6.9,7.4,7.1,6.1,5.4,4.8,5.3,5.2,5.2,4.6,4.3,5.0,5.5,5.9,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,7.6,7.3,6.1,5.2,,,,,,,,,,
California,5.8,7.7,9.3,9.5,8.6,7.9,7.3,6.4,5.9,5.2,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,10.4,8.9,7.5,6.2,,,,,,,,,,
Colorado,5.2,5.3,6.0,5.3,4.2,4.0,4.2,3.5,3.6,3.1,2.8,3.8,5.5,6.0,5.5,5.0,4.3,3.7,4.8,7.3,8.7,8.4,7.9,6.8,5.0,3.9,,,,,,,,,,
Connecticut,5.1,6.5,7.6,6.6,5.6,5.5,5.5,5.0,3.4,2.9,2.4,3.1,4.3,5.4,5.0,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.3,7.8,6.6,5.6,,,,,,,,,,
Delaware,4.7,6.2,5.4,5.1,4.8,4.3,5.1,4.0,3.7,3.4,3.7,3.5,4.0,4.3,4.0,4.1,3.6,3.4,4.9,8.3,8.4,7.5,7.2,6.7,5.7,4.9,,,,,,,,,,
District of Columbia,6.3,7.8,8.6,8.5,8.0,8.8,8.4,8.0,8.4,6.4,5.6,6.3,6.4,6.8,7.8,6.4,5.8,5.5,6.5,9.3,9.4,10.2,9.0,8.5,7.8,6.9,,,,,,,,,,
Florida,6.1,7.5,8.2,7.1,6.4,5.5,5.2,4.8,4.3,3.9,3.7,4.7,5.6,5.2,4.6,3.7,3.2,4.0,6.3,10.4,11.1,10.0,8.5,7.3,6.3,5.4,,,,,,,,,,
Georgia,5.5,5.2,6.9,6.0,5.2,4.8,4.7,4.6,4.3,3.9,3.6,4.0,5.0,4.8,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,9.2,8.2,7.1,5.9,,,,,,,,,,
Hawaii,2.7,2.9,4.3,4.5,5.5,5.9,6.3,6.2,6.1,5.4,4.2,4.5,4.2,4.1,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6.0,4.9,4.4,3.6,,,,,,,,,,
Idaho,5.5,6.2,6.4,6.0,5.4,5.4,5.3,5.1,5.1,4.9,4.7,5.1,5.6,5.6,4.9,4.0,3.5,3.1,5.1,8.8,9.0,8.3,7.2,6.2,4.8,4.1,,,,,,,,,,
Illinois,6.1,7.3,7.9,7.4,5.8,5.2,5.3,4.8,4.4,4.4,4.3,5.3,6.5,6.8,6.2,5.7,4.5,5.0,6.3,10.2,10.4,9.7,9.0,9.1,7.1,5.9,,,,,,,,,,
Indiana,5.3,6.0,6.6,5.4,4.9,4.6,4.1,3.5,3.1,3.0,3.1,4.2,5.2,5.3,5.4,5.5,5.0,4.6,5.9,10.3,10.4,9.1,8.3,7.7,5.9,4.8,,,,,,,,,,
Iowa,4.4,4.7,4.5,4.0,3.5,3.4,3.5,3.1,2.7,2.6,2.6,3.3,4.0,4.5,4.5,4.3,3.7,3.7,4.2,6.4,6.0,5.5,5.1,4.7,4.2,3.7,,,,,,,,,,
Kansas,4.3,4.4,4.5,5.0,4.9,4.4,4.3,3.8,3.5,3.3,3.6,4.2,5.1,5.5,5.5,5.0,4.4,4.2,4.6,6.9,7.1,6.5,5.7,5.3,4.6,4.2,,,,,,,,,,
Kentucky,6.0,7.3,6.9,6.2,5.4,5.4,5.5,5.3,4.6,4.5,4.2,5.2,5.7,6.1,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,8.2,8.1,6.5,5.4,,,,,,,,,,
Louisiana,6.2,7.3,8.0,7.6,7.8,7.0,6.6,6.0,5.7,5.1,5.3,5.7,6.1,6.4,5.9,7.2,4.5,4.3,4.9,6.8,8.0,7.8,7.1,6.7,6.4,6.3,,,,,,,,,,
Maine,5.3,7.5,7.3,7.3,7.0,6.0,5.2,5.1,4.5,4.0,3.4,3.8,4.3,5.0,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.5,6.6,5.6,4.4,,,,,,,,,,
Maryland,4.5,6.1,6.8,6.2,5.3,5.0,5.0,5.0,4.4,3.6,3.6,4.0,4.4,4.4,4.3,4.1,3.9,3.5,4.2,7.0,7.7,7.2,7.0,6.6,5.8,5.2,,,,,,,,,,
Massachusetts,6.3,8.6,8.5,7.0,6.0,5.3,4.4,3.9,3.3,3.2,2.7,3.7,5.3,5.7,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,6.7,6.7,5.7,5.0,,,,,,,,,,
Michigan,7.6,9.2,9.0,7.2,6.0,5.3,4.9,4.3,3.9,3.7,3.6,5.2,6.3,7.2,7.0,6.8,7.0,7.0,8.0,13.7,12.6,10.4,9.1,8.8,7.3,5.4,,,,,,,,,,
Minnesota,4.8,5.1,5.1,5.0,4.1,3.7,4.0,3.3,2.7,2.8,3.2,3.8,4.5,4.9,4.7,4.1,4.0,4.6,5.4,7.8,7.4,6.5,5.6,4.9,4.2,3.7,,,,,,,,,,
